"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2016-Q1","2016-M01","2016-M02","2016-M03","2016-Q2","2016-M04","2016-M05","2016-M06","2016-Q3","2016-M07","2016-M08","2016-M09","2016-Q4","2016-M10","2016-M11","2016-M12","2017","2017-Q1","2017-M01","2017-M02","2017-M03","2017-Q2","2017-M04","2017-M05","2017-M06","2017-Q3","2017-M07","2017-M08","2017-M09","2017-Q4","2017-M10","2017-M11","2017-M12","2018","2018-Q1","2018-M01","2018-M02","2018-M03","2018-Q2","2018-M04","2018-M05","2018-M06","2018-Q3","2018-M07","2018-M08","2018-M09","2018-Q4","2018-M10","2018-M11","2018-M12","2019","2019-Q1","2019-M01","2019-M02","2019-M03","2019-Q2","2019-M04","2019-M05","2019-M06","2019-Q3","2019-M07","2019-M08","2019-M09","2019-Q4","2019-M10","2019-M11","2019-M12","2020","2020-Q1","2020-M01","2020-M02","2020-M03","2020-Q2","2020-M04","2020-M05","2020-M06","2020-Q3","2020-M07","2020-M08","2020-M09","2020-Q4","2020-M10","2020-M11","2020-M12","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.TX799.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Africa not specified","Quarterly","Millions","","0.009313","","","","0.007678","","","","0.028416","","","","0.006222","","","","","0.004325","","","","0.013302","","","","0.026455","","","","0.035403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4039","","","","0.827705","","","","","0.078552","","","","0.043431","","","","0.010433","","","","0.129235","","","","","0.102085","","","","0.039351","","","","0.078119","","","","0.082869","","","","","","","","","0.012979","","","","0.010713","","","","0.091353","","","","","0.004381","","","","","","","","0.002145","","","","0.074031","","","","","0.170185","","","","","","","","","","","","0.004217","","","","0.084529","","","","0.013512","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.BLZ.Q","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Belize","Quarterly","Millions","","1.479413","","","","0.989999","","","","2.642256","","","","2.048713","","","","","1.534567","","","","2.475352","","","","1.87952","","","","2.273963","","","","","2.376545","","","","2.982102","","","","1.261315","","","","2.767481","","","","","1.509163","","","","1.60316","","","","0.881931","","","","2.08529","","","","","1.263127","","","","2.084807","","","","0.659471","","","","1.081319","","","","","0.519913","","","","1.106706","","","","0.420546","","","","1.36457","","","","","1.454131","","","","1.308697","","","","0.631504","","","","1.817936","","","","","1.008084","","","","2.550108","","","","0.956139","","","","0.965984","","","","","1.520454","","","","1.225641","","","","0.733619","","","","0.712089","","","","0.888293","","","","1.096136","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.ISL.Q","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Iceland","Quarterly","Millions","","28.344483","","","","37.030843","","","","49.018922","","","","46.996892","","","","","36.542739","","","","44.099809","","","","45.794656","","","","46.558409","","","","","41.86122","","","","52.527876","","","","47.12942","","","","42.035285","","","","","48.130869","","","","32.645507","","","","33.713458","","","","26.546585","","","","","21.670932","","","","19.89578","","","","21.024563","","","","19.443031","","","","","17.478405","","","","43.68414","","","","38.932838","","","","32.749003","","","","","34.299499","","","","46.257628","","","","66.708479","","","","47.721939","","","","","43.819512","","","","76.977718","","","","44.627865","","","","34.81734","","","","","34.601356","","","","34.712117","","","","41.557159","","","","34.203712","","","","35.261925","","","","35.96837","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.ASM.Q","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","American Samoa","Quarterly","Millions","","","","","","0.399048","","","","0.359088","","","","0.266208","","","","","0.375023","","","","0.400088","","","","0.421128","","","","0.504151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002186","","","","0.207587","","","","","0.002041","","","","0.004531","","","","0.01179","","","","0.00947","","","","","0.004441","","","","","","","","0.013753","","","","0.018997","","","","","0.081552","","","","0.043237","","","","0.014873","","","","0.014509","","","","","0.005207","","","","","","","","0.021103","","","","0.034545","","","","","0.03223","","","","0.016097","","","","0.022303","","","","0.057194","","","","0.001508","","","","0.033315","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.VNM.Q","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Vietnam","Quarterly","Millions","","3785.092981","","","","3869.860111","","","","4411.267034","","","","4191.662613","","","","","4246.381268","","","","4557.951892","","","","4714.412818","","","","4987.002623","","","","","4967.081568","","","","5047.55331","","","","5254.577553","","","","5835.361963","","","","","5121.833069","","","","5474.758708","","","","6040.214613","","","","5839.392874","","","","","5658.757236","","","","4999.215917","","","","5303.829209","","","","6061.934395","","","","","5867.573379","","","","5774.841091","","","","5571.736876","","","","5696.668457","","","","","6265.143871","","","","6385.352651","","","","6774.830421","","","","6919.372182","","","","","6409.780995","","","","6276.516973","","","","6507.343115","","","","6588.430644","","","","","6360.724653","","","","6221.332354","","","","7264.637927","","","","6914.321","","","","7590.753121","","","","7209.98307","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.BRA.Q","OBS_VALUE","Japan","Trade balance goods, US dollar","Brazil","Quarterly","Millions","","-1331.507267","","","","-934.656691","","","","-729.588222","","","","-912.434417","","","","","-722.249444","","","","-879.50386","","","","-878.486058","","","","-1306.637596","","","","","-747.943093","","","","-744.64357","","","","-654.899778","","","","-738.622701","","","","","-734.580583","","","","-810.777746","","","","-1021.929881","","","","-1647.226575","","","","","-1309.984931","","","","-526.276248","","","","-1008.934329","","","","-1316.800066","","","","","-789.656715","","","","-1048.960285","","","","-1562.703994","","","","-2266.348546","","","","","-1611.091911","","","","-1116.564089","","","","-1603.088987","","","","-2377.148542","","","","","-1962.977464","","","","-1375.253899","","","","-1608.249905","","","","-1890.96383","","","","","-1373.093946","","","","-1041.409954","","","","-1267.06117","","","","-1471.941626","","","","-930.311689","","","","-1028.541974","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.IRN.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Iran, Islamic Republic of","Quarterly","Millions","","83.381252","","","","109.418354","","","","179.017562","","","","212.444813","","","","","233.581643","","","","209.411375","","","","209.38874","","","","225.648754","","","","","243.137784","","","","256.718697","","","","136.612368","","","","65.770948","","","","","6.49415","","","","21.112774","","","","18.968851","","","","20.044663","","","","","18.637387","","","","17.875098","","","","14.399161","","","","25.522395","","","","","15.068354","","","","16.937408","","","","25.103574","","","","12.898885","","","","","17.44832","","","","11.996288","","","","9.398411","","","","11.970045","","","","","15.340803","","","","13.50476","","","","14.178623","","","","21.027738","","","","","25.682855","","","","17.261973","","","","21.787534","","","","23.840293","","","","26.361055","","","","13.986781","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.KEN.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Kenya","Quarterly","Millions","","163.283864","","","","204.272209","","","","192.932723","","","","186.196653","","","","","188.335436","","","","214.736871","","","","169.399661","","","","191.002744","","","","","210.696401","","","","237.257251","","","","232.604105","","","","217.808852","","","","","182.861532","","","","224.90524","","","","227.800807","","","","219.008516","","","","","195.477521","","","","126.299253","","","","173.275325","","","","225.607869","","","","","215.620965","","","","240.835292","","","","282.085124","","","","285.80959","","","","","231.734461","","","","285.718636","","","","213.491258","","","","234.032305","","","","","233.518342","","","","254.949411","","","","237.177167","","","","221.257294","","","","","206.976162","","","","231.646583","","","","271.522136","","","","300.523378","","","","264.405159","","","","334.617602","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.CRI.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Costa Rica","Quarterly","Millions","","88.367784","","","","73.446106","","","","94.553598","","","","66.040892","","","","","82.878588","","","","65.717304","","","","71.738866","","","","88.590141","","","","","77.794892","","","","68.075032","","","","68.379632","","","","64.333487","","","","","58.454666","","","","52.406342","","","","81.138712","","","","58.451593","","","","","71.770093","","","","36.792971","","","","35.824343","","","","60.981516","","","","","53.509904","","","","61.526782","","","","101.462078","","","","89.981305","","","","","99.704381","","","","109.850716","","","","125.018384","","","","125.333195","","","","","96.893894","","","","109.724766","","","","127.112003","","","","147.754162","","","","","148.491449","","","","149.458452","","","","146.202057","","","","140.971786","","","","148.292841","","","","132.191603","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.FSM.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Micronesia, Federated States of","Quarterly","Millions","","","","","","","","","","","","","","","","","","","3.337207","","","","2.966773","","","","10.702385","","","","7.953327","","","","","3.818498","","","","6.801296","","","","4.45051","","","","4.256683","","","","","6.091093","","","","3.335061","","","","4.126577","","","","4.405716","","","","","4.615745","","","","3.426729","","","","5.531418","","","","3.608183","","","","","3.311927","","","","2.706455","","","","5.439824","","","","3.588206","","","","","3.907399","","","","2.973956","","","","3.84897","","","","4.50725","","","","","3.317667","","","","3.540203","","","","4.138161","","","","5.775971","","","","","3.81583","","","","2.8883","","","","4.161827","","","","4.097769","","","","7.583786","","","","6.098972","","","","",""
