"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","JPN.GGXCNL.A","OBS_VALUE","Japan","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","-19595.000","-17138.700","-13756.600","-16986.400","-48973.300","-33890.400","-23627.924","-13354.126","-9307.149","-7955.678"
"IMF.RES:WEO(9.0.0)","JPN.GGXONLB_NGDP.A","OBS_VALUE","Japan","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.532","-2.164","-1.678","-2.364","-8.435","-5.542","-3.810","-2.048","-1.146","-0.861"
"IMF.RES:WEO(9.0.0)","JPN.PCPI.A","OBS_VALUE","Japan","All Items, Consumer price index (CPI), Period average","Annual","Units","98.101","98.578","99.554","100.021","99.994","99.759","102.249","105.590","108.482","112.048"
"IMF.RES:WEO(9.0.0)","JPN.NID_NGDP.A","OBS_VALUE","Japan","Gross capital formation, Percent of GDP","Annual","Units","24.836","25.215","25.642","25.790","25.224","25.825","26.789","26.122","26.118","26.492"
"IMF.RES:WEO(9.0.0)","JPN.GGXCNL_NGDP.A","OBS_VALUE","Japan","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.600","-3.099","-2.471","-3.045","-9.075","-6.128","-4.215","-2.261","-1.530","-1.259"
"IMF.RES:WEO(9.0.0)","JPN.GGXWDN.A","OBS_VALUE","Japan","Net debt, General government, Domestic currency","Annual","Billions","813801.700","818946.800","841313.900","845929.500","874002.500","862923.900","838014.200","805236.000","814543.149","822498.827"
"IMF.RES:WEO(9.0.0)","JPN.BCA_NGDPD.A","OBS_VALUE","Japan","Current account balance (credit less debit), Percent of GDP","Annual","Units","3.953","4.128","3.528","3.446","2.967","3.894","2.109","3.707","4.818","3.901"
"IMF.RES:WEO(9.0.0)","JPN.GGX.A","OBS_VALUE","Japan","Expenditure, General government, Domestic currency","Annual","Billions","202663.000","202900.800","204498.700","208065.600","240340.000","234918.500","234060.524","231397.726","237898.449","244239.611"
"IMF.RES:WEO(9.0.0)","JPN.GGXWDN_NGDP.A","OBS_VALUE","Japan","Net debt, General government, Percent of GDP","Annual","Units","149.496","148.072","151.144","151.624","161.958","156.025","149.483","136.318","133.883","130.131"
"IMF.RES:WEO(9.0.0)","JPN.GGSB_NPGDP.A","OBS_VALUE","Japan","Structural balance, General government, Percent","Annual","Units","-4.449","-3.655","-3.049","-3.334","-8.137","-5.441","-4.200","-2.352","-1.624","-1.374"
"IMF.RES:WEO(9.0.0)","JPN.GGR_NGDP.A","OBS_VALUE","Japan","Revenue, General government, Percent of GDP","Annual","Units","33.630","33.587","34.267","34.249","35.462","36.348","37.537","36.912","37.573","37.384"
"IMF.RES:WEO(9.0.0)","JPN.GGXWDG.A","OBS_VALUE","Japan","Gross debt, General government, Domestic currency","Annual","Billions","1265218.900","1279372.700","1293498.700","1318795.700","1394277.500","1402869.000","1391684.200","1420415.600","1436475.612","1451018.803"
"IMF.RES:WEO(9.0.0)","JPN.BCA.A","OBS_VALUE","Japan","Current account balance (credit less debit), US dollar","Annual","Billions","197.779","203.535","177.821","176.341","149.936","196.206","89.909","155.878","193.665","166.937"
"IMF.RES:WEO(9.0.0)","JPN.GGR.A","OBS_VALUE","Japan","Revenue, General government, Domestic currency","Annual","Billions","183068.000","185762.100","190742.100","191079.200","191366.700","201028.100","210432.600","218043.600","228591.299","236283.933"
"IMF.RES:WEO(9.0.0)","JPN.GGSB.A","OBS_VALUE","Japan","Structural balance, General government, Domestic currency","Annual","Billions","-24194.153","-20003.136","-16648.665","-18472.436","-45252.078","-30588.418","-23756.760","-13860.391","-9854.450","-8661.785"
"IMF.RES:WEO(9.0.0)","JPN.GGXWDG_NGDP.A","OBS_VALUE","Japan","Gross debt, General government, Percent of GDP","Annual","Units","232.421","231.321","232.380","236.381","258.369","253.652","248.246","240.461","236.108","229.572"
"IMF.RES:WEO(9.0.0)","JPN.GGXONLB.A","OBS_VALUE","Japan","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","-13781.000","-11966.800","-9340.700","-13189.500","-45520.100","-30652.300","-21358.024","-12095.126","-6970.391","-5441.721"
"IMF.RES:WEO(9.0.0)","JPN.NGDPRPC.A","OBS_VALUE","Japan","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","4270141.337","4349012.987","4385668.510","4377532.220","4207442.664","4333189.544","4389818.438","4465192.072","4491206.340","4561600.178"
"IMF.RES:WEO(9.0.0)","JPN.PCPIE.A","OBS_VALUE","Japan","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","98.445","98.983","99.841","100.351","99.430","99.931","103.788","106.807","109.925","113.036"
"IMF.RES:WEO(9.0.0)","JPN.NGDPRPPPPC.A","OBS_VALUE","Japan","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","Annual","Units","44007.060","44819.893","45197.656","45113.805","43360.903","44656.820","45240.424","46017.207","46285.303","47010.766"
"IMF.RES:WEO(9.0.0)","JPN.NGDP_R.A","OBS_VALUE","Japan","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","542137.500","551220.000","554766.600","552535.400","529501.400","543779.900","549002.400","555837.900","556417.700","562403.889"
"IMF.RES:WEO(9.0.0)","JPN.TM_RPCH.A","OBS_VALUE","Japan","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","-1.175","3.307","3.814","0.988","-6.763","5.206","8.255","-0.848","0.972","3.635"
"IMF.RES:WEO(9.0.0)","JPN.PPPPC.A","OBS_VALUE","Japan","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","40047.948","41518.116","42247.099","42817.548","42564.675","44656.820","48458.110","51113.892","52688.001","54815.317"
"IMF.RES:WEO(9.0.0)","JPN.PCPIPCH.A","OBS_VALUE","Japan","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","-0.124","0.487","0.990","0.469","-0.027","-0.235","2.496","3.268","2.739","3.287"
