"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2016-Q1","2016-M01","2016-M02","2016-M03","2016-Q2","2016-M04","2016-M05","2016-M06","2016-Q3","2016-M07","2016-M08","2016-M09","2016-Q4","2016-M10","2016-M11","2016-M12","2017","2017-Q1","2017-M01","2017-M02","2017-M03","2017-Q2","2017-M04","2017-M05","2017-M06","2017-Q3","2017-M07","2017-M08","2017-M09","2017-Q4","2017-M10","2017-M11","2017-M12","2018","2018-Q1","2018-M01","2018-M02","2018-M03","2018-Q2","2018-M04","2018-M05","2018-M06","2018-Q3","2018-M07","2018-M08","2018-M09","2018-Q4","2018-M10","2018-M11","2018-M12","2019","2019-Q1","2019-M01","2019-M02","2019-M03","2019-Q2","2019-M04","2019-M05","2019-M06","2019-Q3","2019-M07","2019-M08","2019-M09","2019-Q4","2019-M10","2019-M11","2019-M12","2020","2020-Q1","2020-M01","2020-M02","2020-M03","2020-Q2","2020-M04","2020-M05","2020-M06","2020-Q3","2020-M07","2020-M08","2020-M09","2020-Q4","2020-M10","2020-M11","2020-M12","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09"
"IMF.STA:EER(6.0.0)","JPN.NEER_IX_RY2010_AEW.A","OBS_VALUE","Japan","Nominal effective exchange rate (NEER), Index (2010=100) Advanced economy trade partner weighted","Annual","Units","86.1572112487282","","","","","","","","","","","","","","","","","82.2210730561739","","","","","","","","","","","","","","","","","82.0021623943233","","","","","","","","","","","","","","","","","85.5985481302389","","","","","","","","","","","","","","","","","86.6557625887877","","","","","","","","","","","","","","","","","81.9719379104666","","","","","","","","","","","","","","","","","73.1976897742383","","","","","","","","","","","","","","","","","68.2776367058547","","","","","","","","","","","","","","","","","63.7862761612657","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:EER(6.0.0)","JPN.REER_IX_RY2010_ACW_RCPI.A","OBS_VALUE","Japan","Real effective exchange rate (REER), Index (2010=100) Adjusted by relative consumer prices","Annual","Units","78.921578578252","","","","","","","","","","","","","","","","","75.1528884490593","","","","","","","","","","","","","","","","","74.4819622123965","","","","","","","","","","","","","","","","","76.6207325756054","","","","","","","","","","","","","","","","","77.3097599519564","","","","","","","","","","","","","","","","","70.6903929160504","","","","","","","","","","","","","","","","","61.1902645366518","","","","","","","","","","","","","","","","","58.1253175353179","","","","","","","","","","","","","","","","","55.023063697087","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:EER(6.0.0)","JPN.NEER_IX_RY2010_ACW.Q","OBS_VALUE","Japan","Nominal effective exchange rate (NEER), Index (2010=100) Weighted index","Quarterly","Units","","82.5295174910029","","","","86.9030918341643","","","","92.2797650697703","","","","88.68770118714","","","","","85.3555854230684","","","","86.1346898019505","","","","84.2761044597671","","","","82.5397084734052","","","","","83.8405953057061","","","","84.3347914294414","","","","85.6171364737699","","","","85.430267897056","","","","","86.5089759632211","","","","87.627389834614","","","","90.7597841085626","","","","89.4184113629524","","","","","89.5463370170211","","","","92.1564534584604","","","","91.0358211367847","","","","90.0476522478197","","","","","87.7106560316568","","","","84.8999019399559","","","","85.2792065434988","","","","83.0833172087439","","","","","81.599953099867","","","","75.3418505696804","","","","72.9391304663199","","","","72.4663537665114","","","","","75.090029525571","","","","73.0512597392636","","","","70.5001685273751","","","","69.1247367153577","","","","","68.5327168418599","","","","66.1210770365179","","","","68.4548821548707","","","","67.7344127908081","","","","68.3861893042988","","","","70.3020471346562","","","","68.0165704041945","","",""
"IMF.STA:EER(6.0.0)","JPN.NEER_IX_RY2010_ACW.M","OBS_VALUE","Japan","Nominal effective exchange rate (NEER), Index (2010=100) Weighted index","Monthly","Units","","","81.1535857362321","82.9280260026236","83.5069407341531","","84.8874340270459","86.2717643201241","89.5500771553228","","91.2340850782486","92.9984511707423","92.6067589603201","","91.8207218753556","89.8288199296624","84.4135617564019","","","85.0242724623362","85.551943597235","85.490540209634","","87.4537485381988","85.2644977926299","85.685823075023","","84.0222865026966","85.0612162346602","83.7448106419446","","82.7389188343174","82.657478235268","82.2227283506302","","","82.2447194604813","83.8399811687314","85.4370852879055","","84.2932239682023","84.0329494180059","84.678200902116","","85.0446041889465","86.2022771371717","85.6045280951916","","85.5695144064088","85.2022205047727","85.5190687799865","","","87.6314692851768","86.2397210067205","85.6557375977662","","85.4861147959567","88.0706363713366","89.3254183365486","","88.9459816591177","92.0808205298419","91.2525501367282","","90.2657497323646","89.2139870301807","88.7754973263119","","","88.0862143906598","88.5837601478622","91.9690365125414","","92.4166213902682","92.7816457215535","91.2710932635596","","91.3840693196359","90.9815936284258","90.7418004622925","","90.4730309690758","90.1784836330273","89.4914421413562","","","89.1949550034158","87.8638192964007","86.0731937951541","","85.6416248033469","84.87702320588","84.1810578106408","","85.1170451664056","85.5695830750961","85.1509913889948","","83.1799780784788","82.7237049490676","83.3462685986853","","","82.2871338921001","81.9522761656146","80.5604492418862","","76.1512084143553","76.3216443157897","73.5526989788963","","73.0487319804039","74.0927967825681","71.6758626359875","","71.1117880299163","72.0520141293425","74.2352591402755","","","75.7507291363949","74.8304614471232","74.6888979931951","","74.6007598945033","73.0062901561361","71.5467291671514","","71.5330642551633","70.3729275585158","69.5945137684462","","69.2579713797349","68.1708383619589","69.9454004043792","","","69.1708851467428","68.2813321993587","68.1459331794782","","67.1331442220526","65.8364694371135","65.3936174503875","","65.363634162562","69.6178173120745","70.3831949899756","","67.8940855204701","67.0098461381328","68.2993067138214","","67.0540940896954","68.6598729838952","69.4446008393057","","71.3496677402313","69.9608785641623","69.595595099575","","68.311534564566","68.0730456586914","67.6651309893262"
"IMF.STA:EER(6.0.0)","JPN.REER_IX_RY2010_ACW_RCPI.Q","OBS_VALUE","Japan","Real effective exchange rate (REER), Index (2010=100) Adjusted by relative consumer prices","Quarterly","Units","","74.8516159851454","","","","78.370204453967","","","","82.8521616046628","","","","79.612332269233","","","","","76.0859912858967","","","","76.6511383533959","","","","74.7609829201113","","","","73.1134412368334","","","","","74.1691392320828","","","","74.0213050155517","","","","75.0032796996875","","","","74.7341249022638","","","","","75.4789789307569","","","","75.9519710230045","","","","78.2888797533059","","","","76.7631005953544","","","","","76.4791286437515","","","","79.0990869852146","","","","77.6068637181639","","","","76.0539604606954","","","","","73.6939677877286","","","","70.467200975484","","","","70.6397979833171","","","","67.9606049176718","","","","","66.5149450365618","","","","60.8619533854221","","","","58.848117279454","","","","58.5360424451694","","","","","60.5324719828793","","","","59.0101982949919","","","","56.9553949553664","","","","56.0032049080343","","","","","55.3663048933191","","","","53.611271851374","","","","55.6863501974241","","","","55.4283278462306","","","","56.3478133390579","","","","58.0272812132734","","","","56.1079823897969","","",""
"IMF.STA:EER(6.0.0)","JPN.REER_IX_RY2010_AEW_RULC.M","OBS_VALUE","Japan","Real effective exchange rate (REER), Index (2010=100) Adjusted by relative unit labor costs (advanced economies only)","Monthly","Units","","","77.819308286487","79.5272274275352","80.0521117515001","","81.015624166264","82.010738153169","84.7063605731071","","86.0333160653442","87.2414485599165","86.4369307933037","","85.5571700760356","83.3717884644153","78.1416453525207","","","78.5834154196","78.7509874170122","78.4280714089642","","80.1060608016443","77.5614098131147","77.9855405791671","","76.1313524368835","77.0012388055494","75.8751812417654","","74.6273795221985","74.344278866907","73.8501945897692","","","74.0495281847155","75.6650021582775","76.8189630967746","","75.6604227190401","75.1833311404006","75.2596357647316","","74.5807473353928","74.9407687914871","73.8898318788271","","73.6809402547944","73.1675713117948","73.3652564445767","","","75.3209874297264","74.2120024748171","73.6005592768762","","73.3090598832998","75.0305850426078","75.7930030007763","","75.4201568464862","77.6254015904256","76.7425624869402","","76.264023994674","74.9751477907975","73.9514730778016","","","72.7239561240173","73.1116887336163","75.5720272913667","","75.6868736822468","76.3339927576828","75.2503600447244","","75.6253654963511","75.1201151242084","75.474436170483","","74.9883740223916","75.9154942001483","76.2405283009217","","","77.9155253304257","77.0182054456728","75.0087280131007","","74.2851092337901","73.3989341560489","72.5409561862759","","73.0230039086955","73.0467893161166","72.3879868946357","","70.4944167141701","69.8299623985677","69.9320684295095","","","68.5789122463253","68.0857101127508","66.7602394823918","","62.9446256810761","62.4282246177595","60.0224407772218","","59.4316361352194","60.1096796644886","57.9558083021559","","57.1735461998913","57.2304752832811","58.595631844441","","","59.5923321496215","58.6652429816114","58.4876316692861","","58.2354422612447","56.8205135316019","55.0316518347944","","54.7181852336623","53.8379502629746","53.2363473031435","","52.9649558486192","52.1154535354549","53.4976775482057","","","52.8827347939347","52.1887650694038","51.999851355627","","51.2900310170294","50.2022833611856","49.7107385097934","","49.6282861221179","52.9082035170068","53.5448699790907","","51.688166736972","50.9087779080229","51.9268150204407","","51.0712718101704","52.2697715603309","52.6381685393854","","53.5138839762063","52.3466503060129","51.8202473492132","","50.6957634410854","50.6858772740958","50.4239529811033"
"IMF.STA:EER(6.0.0)","JPN.REER_IX_RY2010_AEW_RULC.Q","OBS_VALUE","Japan","Real effective exchange rate (REER), Index (2010=100) Adjusted by relative unit labor costs (advanced economies only)","Quarterly","Units","","79.1328824885073","","","","82.5775742975133","","","","86.5705651395214","","","","82.3568679643238","","","","","78.587491415192","","","","78.5510037313086","","","","76.3359241613994","","","","74.2739509929582","","","","","75.5111644799224","","","","75.3677965413907","","","","74.4704493352356","","","","73.4045893370552","","","","","74.3778497271398","","","","74.7108826422279","","","","76.5960403079506","","","","75.0635482877576","","","","","73.802557383","","","","75.7570754948846","","","","75.4066389303474","","","","75.7147988411538","","","","","76.6474862630663","","","","73.4083331920382","","","","72.8192600398158","","","","70.0854825140824","","","","","67.8082872804892","","","","61.7984303586857","","","","59.1657080339545","","","","57.6665511092044","","","","","58.9150689335062","","","","56.6958692092136","","","","53.9308275999267","","","","52.8593623107598","","","","","52.3571170729884","","","","50.401017629336","","","","52.0271198727383","","","","51.5079198884784","","","","51.9930706366288","","","","52.5602605438107","","","","50.6018645654281","","",""
"IMF.STA:EER(6.0.0)","JPN.REER_IX_RY2010_AEW_RULC.A","OBS_VALUE","Japan","Real effective exchange rate (REER), Index (2010=100) Adjusted by relative unit labor costs (advanced economies only)","Annual","Units","82.6594724724665","","","","","","","","","","","","","","","","","76.9370925752146","","","","","","","","","","","","","","","","","74.6884999234011","","","","","","","","","","","","","","","","","75.1870802412691","","","","","","","","","","","","","","","","","75.1702676623465","","","","","","","","","","","","","","","","","73.2401405022508","","","","","","","","","","","","","","","","","61.6097441955835","","","","","","","","","","","","","","","","","55.6002820133517","","","","","","","","","","","","","","","","","51.5732936158854","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:EER(6.0.0)","JPN.NEER_IX_RY2010_AEW.Q","OBS_VALUE","Japan","Nominal effective exchange rate (NEER), Index (2010=100) Advanced economy trade partner weighted","Quarterly","Units","","81.8113283677246","","","","85.7160532040298","","","","90.4285846857096","","","","86.6728787374483","","","","","83.1499900122744","","","","83.6911266679971","","","","81.8639089762991","","","","80.1792665681247","","","","","81.8094332213692","","","","82.344650534458","","","","82.1237860885688","","","","81.7307797328967","","","","","83.7923778612488","","","","84.9217930169287","","","","87.6229259548472","","","","86.0570956879306","","","","","86.2705085895337","","","","87.7855961679978","","","","86.4595091256118","","","","86.107436472007","","","","","84.2118871345291","","","","81.3367844885234","","","","81.9598905962307","","","","80.3791894225828","","","","","79.2797728329243","","","","73.250999720182","","","","70.8065618013983","","","","69.4534247424482","","","","","72.1226453952078","","","","69.5864616170298","","","","66.3119286924428","","","","65.0895111187385","","","","","64.5091145487827","","","","62.2346683202471","","","","64.4221088330649","","","","63.9792129429677","","","","64.7172131668541","","","","65.6491325552031","","","","63.4119159490103","","",""
"IMF.STA:EER(6.0.0)","JPN.NEER_IX_RY2010_AEW.M","OBS_VALUE","Japan","Nominal effective exchange rate (NEER), Index (2010=100) Advanced economy trade partner weighted","Monthly","Units","","","80.4212523086609","82.1617033333441","82.851029461169","","83.9121019136886","85.1312649891001","88.104792709301","","89.6375327434743","91.1248354421381","90.5233858715167","","89.8806593152813","87.75318603534","82.3847908617239","","","82.9587520297379","83.3159074773633","83.1753105297224","","85.1637689886705","82.6407167933437","83.2688942219775","","81.4501147142069","82.5796250412666","81.561987173424","","80.4671457687302","80.2616511188852","79.8090028167589","","","80.0223819638446","81.9546344037656","83.4512832964978","","82.4029563218193","82.1459572966164","82.4850379849386","","81.9957695895752","82.6387872528493","81.7368014232822","","81.7052542138561","81.4648655799187","82.0222194049157","","","84.5934600101771","83.6161544659327","83.1675191076369","","83.0937139343305","85.296846264633","86.3748188518229","","86.2975656373582","88.7897263099782","87.7814859172054","","86.8127325756361","85.9300630901989","85.4284913979571","","","85.1114821672601","85.5709842736387","88.1290593277027","","88.0909961463615","88.4201055863789","86.8456867712534","","86.7955764992988","86.1606176535626","86.4223332239744","","86.3217809097351","86.3876932744117","85.6128352318745","","","85.592909798127","84.4575936843414","82.5851579211191","","81.8678263754969","81.3455812513965","80.7969458386773","","81.6991459788864","82.2008516396007","81.9796741702053","","80.3097455078782","80.0921168393406","80.73570592053","","","79.7860339144553","79.6248050777344","78.4284795065836","","74.34018407724","74.0138754010159","71.3989396822901","","71.0134433138421","71.9337673300481","69.472474760305","","68.4657167405679","68.9069187641968","70.9876387225799","","","72.8297503787985","71.8615931434008","71.6765926634241","","71.4450738147533","69.7309558899229","67.5833551464132","","67.2394418642097","66.2019284070518","65.494415806067","","65.2074067068834","64.1740302211509","65.8870964281812","","","65.1158518569211","64.297349000749","64.1141427886782","","63.2771892064678","61.9891916882948","61.4376240659789","","61.3822064027572","65.5112400545316","66.372880041906","","64.1584725846646","63.2369071701895","64.5422590740493","","63.5010858934554","65.056632170912","65.5939214361949","","66.7612976848911","65.3855771848322","64.800522795886","","63.4788518050171","63.515761629325","63.241134412689"
