"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.MLT.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Malta","Annual","Millions","132.035231","151.679495","176.472168","218.30804","173.25944","173.160534","196.434441","181.891693","157.240585"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.VNM.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Vietnam","Annual","Millions","16257.882739","18505.748601","21104.574394","22476.199264","22023.736757","22910.819803","26344.699125","25782.071727","26761.015934"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.KAZ.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Kazakhstan, Republic of","Annual","Millions","582.670437","1258.164479","1559.546053","1050.636966","735.723523","691.69661","860.749734","671.62916","710.981835"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.FIN.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Finland","Annual","Millions","1394.330062","1653.068978","1943.032737","1793.914905","1597.845172","1947.783535","2224.554295","1592.20366","1351.972849"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.THA.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Thailand","Annual","Millions","20143.540376","22722.278199","25071.017755","25359.245794","23761.977807","26291.630462","26653.815941","25701.089916","24717.658347"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.SVK.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Slovak Republic","Annual","Millions","226.26369","217.373879","254.186235","321.789632","328.394082","374.616666","408.036153","535.870494","539.580241"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.KOR.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Korea, Republic of","Annual","Millions","25017.570194","28114.996108","32133.298119","29614.126885","26569.394487","32004.859074","33589.366222","30991.253145","31447.49253"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.MDA.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Moldova, Republic of","Annual","Millions","15.019055","16.680446","23.602753","25.456041","21.187016","19.7634","25.005653","33.810588","44.054279"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.BHS.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Bahamas, The","Annual","Millions","993.616974","527.041629","1196.392833","1285.137292","204.462547","202.470511","276.276456","301.60847","285.837286"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.MYS.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Malaysia","Annual","Millions","12134.30001","12762.653882","13947.227249","13291.874505","12556.358319","15605.817176","16464.142466","13939.851759","13926.364116"
